class,sms,stemmed_sms,len
spam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,congratul ur award either cd gift voucher free entri weekli draw txt music tnc,152
ham,Lol great now im getting hungry.,lol great im get hungri,32
ham,Yes.. now only saw your message..,saw,33
ham,I'll be at mu in like &lt;#&gt; seconds,mu like lt gt second,39
ham,Ok...,ok,5
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,thing good thanx got exam march ive done revis fran still boyf ive got ta interviw exet bit worri,126
ham,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\"" for the entire month of february I'll come up""",tell make littl spreadsheet track whose idea smoke determin entir month februari come,167
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!,sale arsen dartboard good condit doubl trebl,71
ham,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,look back build coat want get sick hurri home wear coat gym,141
ham,"My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\""""",pain person alway tri keep everybodi happi time nobodi recognis,124
ham,Thanks for ve lovely wisheds. You rock,thank love wish rock,38
ham,You intrepid duo you! Have a great time and see you both soon.,intrepid duo great time see soon,62
ham,I asked sen to come chennai and search for job.,ask sen come chennai search job,47
ham,Dad went out oredi...,dad went oredi,21
ham,"I jus hope its true that missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.",ju hope true missin co realli missin done anyth feel guilti yet,114
ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,wat late still earli mah juz go dinner lor aiya dunno,71
ham,"Arms fine, how's Cardiff and uni?",arm fine cardiff uni,33
ham,In fact when do you leave? I think addie goes back to school tues or wed,fact leav think addi goe back school tue wed,72
ham,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\"" :)""",cool breez bright sun fresh flower twitter bird wait wish amp nice,134
ham,Ya:)going for restaurant..,ya go,26
ham,"Its ok., i just askd did u knw tht no?",askd knw tht,38
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,free week entri textpod chanc win ipod cash everi wk txt pod ts cs custcar,141
ham,Those ducking chinchillas,duck chinchilla,25
ham,I am in a marriage function,marriag function,27
ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,look like wil get headstart im leav bout desper compani could head goin meet rummer,159
ham,Don‰Û÷t give a flying monkeys wot they think and I certainly don‰Û÷t mind. Any friend of mine and all that!,give fli monkey wot think certainli mind friend mine,107
spam,As a registered optin subscriber ur draw 4 å£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,regist optin subscrib ur draw gift voucher enter receipt correct an what bbc chart,142
ham,say thanks2.,say,12
ham,Msg me when rajini comes.,msg rajini come,25
ham,Ya! when are Ì_ taking ure practical lessons? I start in june..,ya take ure practic lesson start,63
ham,"That's good, because I need drugs",good need drug,33
ham,Stupid.its not possible,possibl,23
ham,Can Ì_ all decide faster cos my sis going home liao..,decid faster co si go home,53
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,summer final fanci chat flirt sexi singl yr area get match repli summer free join optout txt stop,159
ham,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..,sleep go take got spi onlin check repli mail,104
spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Callså£1/minmoremobsEMSPOBox45PO139WA,clair havin borin time alon wan na cum chat hope luv clair xx,154
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",fight world easi either win lose bt fightng close dificult lose lose win still lose,149
spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,bought one rington get text cost pound offer tone etc,81
ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D",yalru lyfu astn bt innu mundh lyf ali halla ke bilo marriag program edha lyf nt yet ovr vargu lyfu meow meow,144
ham,Kinda. First one gets in at twelve! Aah. Speak tomo,kinda first one get twelv aah speak tomo,51
spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",urgent mobil bonu caller prize attempt reach call asap,153
ham,Ok good then i later come find Ì_... C lucky i told Ì_ to go earlier... Later pple take finish Ì_ no more again...,ok good later come find lucki told go earlier later pple take finish,114
ham,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.,wat make thk fall actual thk quit prone fall lucki dad home ask come fetch alreadi,131
spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",guarante latest nokia phone ipod player prize txt word collect,159
ham,Your account has been refilled successfully by INR &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt,172
ham,I wont touch you with out your permission.,wont touch permiss,42
spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Callså£1/minMobsmoreLKPOBOX177HP51FL,hi luci hubbi meetin day fri alon hotel fanci cumin pl leav msg luci,161
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",wonder world ur style ur smile ur person ur natur ur sm love good morn dear,153
ham,Take some small dose tablet for fever,take small dose tablet fever,37
ham,Oh. U must have taken your REAL Valentine out shopping first.,oh must taken real valentin shop first,61
ham,"Just sent you an email ‰ÛÒ to an address with incomm in it, is that right?",sent email address incomm right,74
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",gon na blake night might abl get littl earli,93
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",friendship game play word say start march end may tomorrow yesterday today,141
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!",nice wait text right gon na pay ticket ya know,85
ham,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?,watch lotr si di aft wan meet dinner nite,78
ham,Why you keeping me away like this,keep away like,33
ham,I think its far more than that but find out. Check google maps for a place from your dorm.,think far find check googl map place dorm,90
ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,trip ok quit tire lor uni start today ok co take modul ju concentr final yr project,147
ham,Have you always been saying welp?,alway say welp,33
ham,"I'm a guy, browsin is compulsory",guy browsin compulsori,32
ham,Ok...,ok,5
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,puriti friendship two smile read forward smile see name gud evng musthu,149
ham,"Sorry, I'll call later",sorri call later,22
ham,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)",add realli care ca least get dude fuck hey money want,132
ham,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea",hello lover goe new job happi think wake slave send teas kiss across sea,154
ham,I told your number to gautham..,told number,31
ham,Tell them no need to investigate about me anywhere.,tell need investig anywher,51
ham,Ok i juz receive..,ok juz,18
ham,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",cant believ said mani thing morn realli want say good morn love beauti morn see librari later,172
spam,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz",account credit free text messag activ txt word credit cs,130
ham,In the end she might still vomit but its okay. Not everything will come out.,end might still vomit okay everyth come,76
ham,How are you with moneY...as in to you...money aint a thing....how are you sha!,money money aint thing sha,78
ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,everyth weather keep extra warm cold noth seriou pl lot vitamin,112
ham,Hey gals.. Anyone of u going down to e driving centre tmr?,hey anyon go drive centr tmr,58
ham,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,alway yahoo messeng send messag get may send mobil mode sha get repli,158
ham,I'm putting it on now. It should be ready for &lt;TIME&gt;,put readi lt time gt,58
ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",time smile two crucial thing life sometim time make us forget smile sometim someon smile make us forget time gud noon,154
spam,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",sm ac jsco energi high may know ur leadership skill strong psychic repli an end repli end jsco,154
ham,Host-based IDPS for linux systems.,idp linux system,34
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",hot live fantasi call per min ntt ltd po box croydon nation rate call,122
ham,Don no da:)whats you plan?,da what plan,26
ham,Ill be there on &lt;#&gt; ok.,ill lt gt ok,29
ham,Oh my God. I'm almost home,oh god almost home,26
ham,Total video converter free download type this in google search:),total video convert free download type googl search,64
spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,thank vote sing along star karaok mobil free link repli sing,121
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",wen ur lovabl bcum angri wid dnt take coz angri childish true way show deep affect care luv kettoda manda nice day da,179
ham,Sounds like something that someone testing me would sayy,sound like someth someon test would sayi,56
ham,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,love someon dont make love much love much dont want love anyon except gud nit,148
ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",pete phone still jenni colleg,90
ham,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?,oop sorri check mind pick tomo half eight station would ok,110
ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",hey sweet wonder moment might come want send file someon wo go yahoo connect suck rememb set page go download format disc could tell know way download big file download stuff directli internet help would great prey,458
ham,Hows the champ just leaving glasgow!,how champ leav glasgow,36
ham,K:)all the best:)congrats...,best congrat,28
ham,I wonder if you'll get this text?,wonder get text,33
ham,I need to come home and give you some good lovin...,need come home give good lovin,51
spam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,brand new mobil music servic live free music player arriv shortli instal phone brows content top artist,157
ham,Shall i ask one thing if you dont mistake me.,shall ask one thing dont mistak,45
ham,Check wid corect speling i.e. Sarcasm,check wid corect spele sarcasm,37
spam,"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",urgent mobil award bonu caller prize attempt contact call bt nation rate,159
ham,Are you angry with me. What happen dear,angri happen dear,39
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,thk dun haf hint forum alreadi lor co told ron darren go tell shuhui,96
ham,Yup ok thanx...,yup ok thanx,15
ham,Hi:)cts employee how are you?,hi ct employe,29
ham,Pls pls find out from aunt nike.,pl pl find aunt nike,32
ham,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you",wow love sooo much know bare stand wonder day goe well love think miss,152
ham,No screaming means shouting..,scream mean,29
ham,Hey what happen de. Are you alright.,hey happen de alright,36
ham,Should I have picked up a receipt or something earlier,pick receipt someth earlier,54
ham,I think chennai well settled?,think chennai well settl,29
ham,Oh dang! I didn't mean o send that to you! Lol!,oh dang mean send lol,47
ham,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th,unfortun found pick sister airport even think go tri go one th,172
ham,Horrible bf... I now v hungry...,horribl bf hungri,32
ham,Remember on that day..,rememb,22
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,nokia get win free auction take part send nokia,150
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,feel real valentin yo valentin even tho hardli play,91
ham,All sounds good. Fingers . Makes it difficult to type,sound good finger make difficult type,53
ham,Midnight at the earliest,midnight earliest,24
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,sure tri make xavier smoke want smoke told smoke much,121
ham,K come to nordstrom when you're done,come nordstrom done,36
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,konw waht rael friendship im gving yuo exmpel jsut ese tih evrey splle tih msg bt sitll yuo ra wihtuot ayn goodnight amp nice,212
ham,Now press conference da:),press confer da,25
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",hello orang month free access game news sport plu free text photo messag repli ye term appli,156
ham,After completed degree. There is no use in joining finance.,complet degre use join financ,59
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",good afternoon love job prospect miss lazi bleak hmmm happi fill love,155
ham,Shant disturb u anymore... Jia you...,shant disturb anymor jia,37
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,bishan lar nearer need buy earli co buy got ta park car,79
ham,"Me, i dont know again oh",dont know oh,24
ham,Dude sux for snake. He got old and raiden got buff,dude sux snake got old raiden got buff,50
ham,He says hi and to get your ass back to south tampa (preferably at a kegger),say hi get ass back south tampa prefer kegger,75
ham,In e msg jus now. U said thanks for gift.,msg ju said thank gift,41
ham,U too...,,8
ham,Ok how you dear. Did you call chechi,ok dear call chechi,36
ham,Yeah we do totes. When u wanna?,yeah tote wan na,31
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,ok found di pierr cardin one look normal cost sale,73
ham,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),good sleep rhythm person establish rhythm bodi learn use want know,127
ham,Wat r u doing?,wat,14
ham,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,messag truro hospit ext phone phone side,97
ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but don't miss ur best life for anything... Gud nyt...""",singl line big mean anyth ur best miss ur best life anyth gud nyt,125
ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",got ga money chanc gang want go grand natur adventur,92
ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,dnt worri use ice piec cloth take tablet,63
ham,Dude just saw a parked car with its sunroof popped up. Sux,dude saw park car sunroof pop sux,58
ham,Get ready to put on your excellent sub face :),get readi put excel sub face,46
ham,Tmrw. Im finishing 9 doors,tmrw im finish door,26
ham,"The &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for &lt;#&gt; and with 3g for &lt;#&gt; . That's why i blanked him.",lt gt saw day ago guy want sell wifi lt gt lt gt blank,139
ham,I am late. I will be there at,late,29
ham,"whatever, im pretty pissed off.",whatev im pretti piss,31
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,today accept accept brother sister lover lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,156
ham,I dont have that much image in class.,dont much imag class,37
ham,No:-)i got rumour that you going to buy apartment in chennai:-),got rumour go buy apart chennai,63
ham,Near kalainar tv office.thenampet,near kalainar tv,33
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,ur current pound maxim ur send go cc,145
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,sm auction brand new nokia auction today auction free join take part txt nokia,149
ham,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,si catch show afternoon watch wan watch today tmr lor,104
ham,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",sound gd haha wah yan jiu fast liao,58
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?,nosi guess idk react freak,62
ham,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",rememb hurt day satan impost pay price destini keep go said pray get mind get,184
ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . . &lt;#&gt; . Good listener &lt;#&gt; . Organizer &lt;#&gt; . Good boyfriend &lt;#&gt; . Very clean &lt;#&gt; . Sympathetic &lt;#&gt; . Athletic &lt;#&gt; . Warm . . . &lt;#&gt; . Courageous &lt;#&gt; . Determined &lt;#&gt; . True &lt;#&gt; . Dependable &lt;#&gt; . Intelligent . . . &lt;#&gt; . Psychologist &lt;#&gt; . Pest exterminator &lt;#&gt; . Psychiatrist &lt;#&gt; . Healer . . &lt;#&gt; . Stylist &lt;#&gt; . Driver . . Aaniye pudunga venaam..,make girl happi difficult make girl happi need friend companion lover chef lt gt good listen lt gt organ lt gt good boyfriend lt gt clean lt gt sympathet lt gt athlet lt gt warm lt gt courag lt gt determin lt gt true lt gt depend lt gt intellig lt gt psychologist lt gt pest extermin lt gt psychiatrist lt gt healer lt gt stylist lt gt driver aaniy pudunga,593
ham,"Why is that, princess? I bet the brothas are all chasing you!",princess bet brotha chase,61
ham,"I shall book chez jules for half eight, if that's ok with you?",shall book chez jule half eight ok,62
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something,hhahhaahahah rofl wtf nig leonardo room someth,64
ham,"Yep, at derek's house now, see you Sunday &lt;3",yep derek hous see sunday lt,47
ham,"It's cool, let me know before it kicks off around &lt;#&gt; , I'll be out and about all day",cool let know kick around lt gt day,91
ham,"Sorry, I'll call later",sorri call later,22
ham,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That &lt;#&gt; dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,wonder would okay call uncl john let know thing nigeria lt gt dollar sent know strain plan pay back everi dime give everi dime expect anyth practic someth like,336
ham,There are no other charges after transfer charges and you can withdraw anyhow you like,charg transfer charg withdraw anyhow like,86
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",dont search love let love find that call fall love bcoz dont forc fall know smeon hold bslvyl,159
ham,At 4. Let's go to bill millers,let go bill miller,30
ham,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,love set soul fire spark flame big rawr flame xoxo,105
ham,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",somewhr someon sure made god decid perfect time make meet dat person till den enjoy ur,148
ham,That's my honeymoon outfit. :),honeymoon outfit,30
ham,Will it help if we propose going back again tomorrow,help propos go back tomorrow,52
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,privat account statement show point call identifi code expir,136
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,never blame day ur life good day give happi bad day give experi essenti life god bless good morn,152
ham,Pls confirm the time to collect the cheque.,pl confirm time collect chequ,43
spam,As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,regist subscrib yr draw gift voucher enter receipt correct an next olymp txt an,146
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,urgent mobil number award prize guarante call land line claim valid,144
ham,Daddy will take good care of you :),daddi take good care,35
ham,"Yeah probably, I still gotta check out with leo",yeah probabl still got ta check leo,47
ham,K.then any other special?,special,25
ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass,carlo take sweet time usual let know patti smoke tell haul ass,127
ham,Ok pa. Nothing problem:-),ok noth problem,25
ham,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?!,heard job go wildlif talk tonight wizzl whatev,142
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",god pick flower dippeditinadew lovingli touch itwhichturnedinto gift tomeandsaid friend,128
ham,When you came to hostel.,came hostel,24
ham,Ok no prob... I'll come after lunch then...,ok prob come lunch,43
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,ju tell dat leav shanghai instead haf time meet cya,99
ham,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,freez home yet rememb kiss mom morn love think miss yet,152
ham,You all ready for * big day tomorrow?,readi big day tomorrow,37
ham,I'll probably be around mu a lot,probabl around mu lot,32
ham,645,,3
spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,pro video club need help info call must club credit redeem enjoy,153
ham,Thnx dude. u guys out 2nite?,thnx dude guy,28
ham,Me sef dey laugh you. Meanwhile how's my darling anjie!,sef dey laugh meanwhil darl anji,55
ham,Mm i had my food da from out,mm food da,28
ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",make sens btw carlo difficult guy gon na smoke go pick second batch get ga,121
ham,Did u download the fring app?,download fring app,29
ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt; worth tonight if possible,oz guy kinda flaki one friend interest pick lt gt worth tonight possibl,114
ham,Friends that u can stay on fb chat with,friend stay fb chat,39
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",fuck babe miss sooooo much wish sleep bed lone go sleep dream love,154
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",live love also laugh win tooo gud nte,148
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,secret admir look make contact think ur,132
ham,"Ah, well that confuses things, doesn‰Û÷t it?",ah well confus thing,44
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account,free text msg text ok credit account,71
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,hi dear call urgnt know what problem want work problem least tell wate repli,156
ham,Dear how you. Are you ok?,dear ok,25
spam,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth å£350! To Claim, Call London 02072069400. Bx 526, SW73SS",select stay top british hotel noth holiday worth claim call london bx,147
ham,Yes princess! I want to make you happy...,ye princess want make happi,41
ham,Sounds like you have many talents! would you like to go on a dinner date next week?,sound like mani talent would like go dinner date next week,83
ham,I am going to film 2day da. At 6pm. Sorry da.,go film da sorri da,45
ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,watch movi alreadi xy want shop shop,73
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,hello littl parti anim thought buzz friend remind love send naughti ador kiss,158
ham,Yesterday its with me only . Now am going home.,yesterday go home,47
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",eeri nokia tone rpli tone titl eg tone dracula titl ghost addamsfa munster exorcist twilight,161
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",come life brought sun warm heart put constant smile face make feel love care,159
ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",shit surpris went spent even french guy met town fool around bit let fuck,165
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\"" just as a shop has to give a guarantee on what they sell. B. G.""",network allow compani bill sm respons shop give guarante sell,156
ham,Great comedy..cant stop laughing da:),great stop laugh da,37
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,freemsg feelin kinda lnli hope like keep compani jst got cam mobi wan na pic txt repli date hlp stop,160
ham,"Alright, we're all set here, text the man",alright set text man,41
ham,"Hi , where are you? We're at and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?",hi keen go kind feel go tomo mind,135
ham,Sleeping nt feeling well,sleep nt feel well,24
ham,U WILL SWITCH YOUR FONE ON DAMMIT!!,switch fone dammit,35
ham,India have to take lead:),india take lead,25
ham,I.ll post her out l8r. In class,post class,31
ham,Thts wat Wright Brother did to fly..,tht wat wright brother,36
ham,"Evening * v good if somewhat event laden. Will fill you in, don't you worry ‰Û_ Head * ok but throat * wrecked. See you at six then!",even good somewhat event laden fill worri head ok throat wreck see six,132
ham,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),laugh realli talk dont care other probabl dear amp best goodeven,156
ham,ITS A LAPTOP TAKE IT WITH YOU.,laptop take,30
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,dont file work call tell find anyth room,118
ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...,wan earli lei outsid wun home earli neva mind,82
spam,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",ur chanc win cash everi wk txt action custcar,123
ham,I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now?,bugi juz wat walk home oredi ìï late repli oso saw top dat like din buy,146
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",wish famili merri ma happi new year,75
ham,At 7 we will go ok na.,go ok na,22
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),ye post coupl pic fb still snow outsid wake,90
